Topic,Claim,Status,Primary Source,Source Date,Checked Date,Confidence,Implementation Impact,Notes
Program,FutureEval is Metaculus's current AI forecasting benchmark brand.,Verified,https://www.metaculus.com/futureeval/methodology/,Current page,2026-07-09,High,Use FutureEval naming in docs and metadata.,Former AIB naming remains in some code/URLs.
MiniBench cadence,"MiniBench is a back-to-back, approximately two-week rapid-feedback series.",Verified,https://www.metaculus.com/aib/minibench/,Current page,2026-07-09,High,Architecture should support fast configuration changes and replay.,Public copy calls it bi-weekly.
Active MiniBench,Current series runs 2026-06-29 through 2026-07-18.,Verified,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,High,Immediate target window.,Dates shown on public series page.
Active MiniBench,"Current series lists 59 questions and a USD 1,000 prize pool.",Verified,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,High,Batch size and external feedback context.,"59 is series count, not verified open/eligible count."
Eligible count,Exact currently open and bot-eligible question count is not established by the public page.,Unresolved,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,High,Must fetch under bot token before sizing a run.,Do not equate series count with eligible count.
Seasonal tournament,"Summer 2026 FutureEval runs 2026-05-18 through 2026-09-06 with USD 50,000 prize pool.",Verified,https://www.metaculus.com/tournament/summer-futureeval-2026/,Current page,2026-07-09,High,Secondary venue and future expansion path.,Page listed 212 questions when checked.
Participation,"Create an account, create a bot, copy its access token, then run a bot/template.",Verified,https://www.metaculus.com/futureeval/participate/,Current page,2026-07-09,High,Owner must create bot/token.,Human account action required.
Model credits,"Metaculus states seasonal-tournament inference costs are covered by OpenAI, Anthropic and Google.",Verified,https://www.metaculus.com/futureeval/participate/,Current page,2026-07-09,Medium,May reduce seasonal cost.,Does not establish MiniBench coverage.
Model credits,Free inference for MiniBench was not established by the reviewed official pages.,Unresolved,https://www.metaculus.com/futureeval/participate/,Current page,2026-07-09,High,Owner must authorize/fund v1 model route.,Treat as paid until confirmed.
Administration,The Summer announcement states a survey is required for prizes.,Verified,https://www.metaculus.com/notebooks/43340/summer-futureeval-announcement/,2026-05-01,2026-07-09,Medium,Track tournament-specific admin requirements.,Exact deadline not captured in public extract.
MiniBench admin,"MiniBench-specific eligibility, payout and post-round steps were not fully verified.",Unresolved,https://www.metaculus.com/notebooks/38928/futureeval-resources-page/,Edited 2026-07-07,2026-07-09,High,Owner rule check before live batch.,Do not assume seasonal rules are identical.
Scoring,Metaculus scores are underpinned by proper log scores; Peer score compares log score with other forecasts.,Verified,https://www.metaculus.com/help/scores-faq/,Current page,2026-07-09,High,Retain log/peer/platform scores and avoid unjustified extremes.,Local attribution also records Brier where applicable.
Scoring,Forecasts are time-averaged and coverage rewards earlier active predictions.,Verified,https://www.metaculus.com/help/scores-faq/,Current page,2026-07-09,High,"After safe pipeline, batch promptly rather than waiting for perfect research.",Human approval remains required initially.
Question types,Binary questions are present in the active MiniBench.,Verified,https://www.metaculus.com/questions/44303/,Current question,2026-07-09,High,Binary path required for Milestone 1.,Public question tagged MiniBench.
Question types,Numeric questions are present in the active MiniBench.,Verified,https://www.metaculus.com/questions/44327/,Current question,2026-07-09,High,Numeric path/CDF required for batch completeness.,Public question tagged MiniBench.
